NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
PITPNM1	1	203826_s_at	
PITPNM3	2	221254_s_at:230076_at	
PITPNM2	3	1552923_a_at:232950_s_at:1552924_a_at	
TAX1BP1	3	200976_s_at:200977_s_at:213786_at	
LOC100505685	1	237758_at	
LOC101927815	1	1562073_at	
FAM32A	1	201863_at	
TAX1BP3	3	215459_at:209154_at:215464_s_at	
FAM193B	2	218920_at:243047_at	
FAM193A	1	203600_s_at	
SSNA1	1	210378_s_at	
NEXN	2	226103_at:1552309_a_at	
LOC101927829	1	1561704_at	
LOC440982	1	241440_at	
PEX16	3	221603_at:221604_s_at:49878_at	
PEX19	2	201707_at:201706_s_at	
KLHL1	1	223810_at	
KLHL2	1	219157_at	
KLHL3	2	1555110_a_at:221221_s_at	
PEX10	2	206351_s_at:206352_s_at	
KLHL4	2	214591_at:1553027_a_at	
KCNRG	2	240288_at:239098_at	
CFAP157	3	1557866_at:231172_at:1557867_s_at	
PEX12	1	205094_at	
PEX13	5	235093_at:1558163_at:1558164_s_at:205246_at:1556009_at	
PEX14	3	33760_at:203503_s_at:1558915_a_at	
KLHL9	4	213117_at:237123_x_at:233197_at:213233_s_at	
ETAA1	1	219216_at	
TFAP4	1	205688_at	
KCNS1	1	207366_at	
KLHL5	5	232297_at:233866_at:227565_at:220682_s_at:226001_at	
KCNS2	3	232401_at:1554680_s_at:1554212_s_at	
KLHL6	4	1555275_a_at:1560396_at:1560397_s_at:228167_at	
KCNS3	1	205968_at	
KLHL7	3	223250_at:220239_at:220238_s_at	
CFAP161	1	1552950_at	
KLHL8	3	1561206_at:242648_at:226874_at	
MC5R	1	208565_at	
LOC101927839	1	231459_at	
INPPL1	1	201598_s_at	
PLAT	1	201860_s_at	
PLB1	2	1553310_at:235703_at	
IGF1R	5	203627_at:208441_at:225330_at:243358_at:203628_at	
TXN2	2	209078_s_at:209077_at	
PPIP5K1	2	1555255_a_at:204578_at	
PPIP5K2	1	203253_s_at	
PLAU	2	211668_s_at:205479_s_at	
ENPP2	2	210839_s_at:209392_at	
RXYLT1	2	204807_at:204808_s_at	
ENPP1	4	205065_at:228952_at:205066_s_at:229088_at	
ENPP4	2	204160_s_at:204161_s_at	
ENPP3	3	219912_s_at:232737_s_at:222938_x_at	
ENPP6	1	229916_at	
ENPP5	2	227803_at:237054_at	
ENPP7	1	238245_at	
CARD10	3	210025_s_at:214207_s_at:210026_s_at	
LOC101927851	1	1570285_at	
LOC389247	1	1560841_at	
ADAM11	2	207880_at:239837_at	
ADAM10	3	202604_x_at:214895_s_at:202603_at	
DHDDS	2	224064_s_at:218547_at	
ADAM19	2	209765_at:221128_at	
ADAM18	2	207597_at:1568970_at	
ADAM17	4	205746_s_at:205745_x_at:213532_at:237897_at	
BRMS1	1	215631_s_at	
ADAM15	2	1555896_a_at:217007_s_at	
LOC105378997	1	1560898_at	
LOC91548	1	234341_x_at	
CARD19	2	223398_at:1562559_at	
ADAM12	5	202952_s_at:213790_at:215613_at:204943_at:226777_at	
ADAM1A	1	228925_at	
PLAA	3	209533_s_at:209532_at:235394_at	
CARD18	1	231733_at	
CARD16	3	1554744_at:1552701_a_at:1552703_s_at	
CARD14	6	1555308_at:1555309_a_at:220599_s_at:224113_at:232608_x_at:220598_at	
CARD11	2	1562368_at:223514_at	
HTRA3	2	226944_at:228580_at	
HTRA4	1	1553706_at	
PLD5	2	1563933_a_at:242173_at	
HTRA1	1	201185_at	
PLD4	2	235802_at:1566433_at	
HTRA2	2	211152_s_at:203089_s_at	
DAPP1	4	219290_x_at:222859_s_at:222858_s_at:236707_at	
PLD6	2	244430_at:227037_at	
PLD1	7	1557126_a_at:232530_at:215723_s_at:226636_at:215724_at:205203_at:177_at	
PLD3	1	201050_at	
PLD2	1	209643_s_at	
GRK1	1	208041_at	
KCNV1	2	220294_at:215736_at	
GRK3	3	228771_at:204183_s_at:204184_s_at	
KCNV2	1	217522_at	
GRK2	3	201401_s_at:38447_at:201402_at	
GRK5	4	204395_s_at:1569949_at:1557729_at:204396_s_at	
GRK4	4	208365_s_at:1560543_at:241989_at:210600_s_at	
GRK7	1	1552929_at	
GRK6	5	211543_s_at:210981_s_at:215961_at:202848_s_at:202849_x_at	
PIBF1	1	213239_at	
SPATA31A3	1	215935_at	
CHCHD10	1	224932_at	
FAM199X	3	225216_at:227133_at:242781_at	
IGF2R	2	201393_s_at:201392_s_at	
LOC101927870	2	1557598_at:1557599_a_at	
BSPRY	2	222746_s_at:218792_s_at	
LOC105375026	2	234267_at:234272_at	
RPS6KA2-AS1	1	236658_at	
SPINK13	1	233340_at	
MAPK10-AS1	1	1559344_at	
ZMYND15	1	223683_at	
LOC101927884	1	1570230_at	
ZMYND19	1	227477_at	
PLEK	2	203471_s_at:203470_s_at	
DIAPH2-AS1	3	217246_s_at:217245_at:217050_at	
PITPNC1	5	227589_at:219155_at:229414_at:1568949_at:238649_at	
GRM1	3	207299_s_at:210939_s_at:210940_s_at	
GRM3	1	205814_at	
MIR3945HG	2	1559777_at:1569095_at	
GRM2	2	208465_at:241802_x_at	
